"id","clim_year","clim_month","clim_date","CMD","DD_0_","DD_18_","DD18_","DD5_","Eref","NFFD","PAS","ppt_mm","Rad","RH","tave","tmax","tmin"
"CAS-BOT-BC541448",1901,10,190110,65,0,91,17,338,102,29,0,37,-9999,46,15.9,25.2,6.5
"CAS-BOT-BC541448",1901,11,190111,52,2,207,1,188,59,23,0,7,-9999,53,11.2,18.9,3.5
"CAS-BOT-BC541448",1901,12,190112,42,10,326,0,90,46,14,0,4,-9999,52,7.4,15,-0.3
"CDA15627",1901,1,190101,3,11,339,0,83,48,15,1,45,-9999,54,7.2,14.3,0
"CDA15627",1901,2,190102,10,8,273,0,97,56,17,0,46,-9999,56,8.1,15,1.2
"CDA15627",1901,3,190103,87,5,273,0,137,92,17,0,4,-9999,48,9.3,17.7,0.8
"CDA15627",1901,4,190104,87,2,234,1,160,108,22,0,20,-9999,52,10.2,18.1,2.4
"CDA15627",1901,5,190105,121,0,123,10,299,140,30,0,19,-9999,55,14.6,22.1,7.1
"CDA15627",1901,6,190106,187,0,41,49,395,189,29,0,2,-9999,40,18.2,29.1,7.3
"CDA15627",1901,7,190107,222,0,4,152,553,222,31,0,0,-9999,40,22.9,34.4,11.3
"CDA15627",1901,8,190108,195,0,4,163,564,196,31,0,2,-9999,43,23.2,33.8,12.6
"CDA15627",1901,9,190109,120,0,41,60,409,134,29,0,13,-9999,47,18.6,28,9.3
"CDA15627",1901,10,190110,67,0,75,24,361,97,30,0,30,-9999,52,16.6,24.9,8.4
"CDA15627",1901,11,190111,51,1,194,1,202,59,25,0,8,-9999,54,11.7,19.3,4.1
"CDA15627",1901,12,190112,49,8,307,0,106,51,11,0,3,-9999,43,8,17.3,-1.3
"CDA30496",1901,1,190101,0,22,421,0,36,31,17,6,132,-9999,74,4.5,8.2,0.8
"CDA30496",1901,2,190102,0,21,378,0,30,39,13,6,119,-9999,70,4.3,8.7,0
"CDA30496",1901,3,190103,64,14,382,0,52,71,12,0,7,-9999,56,5.7,12.4,-0.9
"CDA30496",1901,4,190104,15,4,313,0,91,97,14,3,81,-9999,52,7.6,15.2,0
"CDA30496",1901,5,190105,103,0,181,4,237,126,28,0,23,-9999,58,12.5,19.4,5.6
"CDA30496",1901,6,190106,176,0,67,28,350,178,29,0,2,-9999,41,16.7,27.3,6.1
"CDA30496",1901,7,190107,193,0,10,99,491,199,31,0,6,-9999,44,20.9,31,10.7
"CDA30496",1901,8,190108,183,0,10,110,503,186,31,0,3,-9999,44,21.3,31.6,10.9
"CDA30496",1901,9,190109,104,0,65,37,361,123,29,0,19,-9999,51,17,25.6,8.5
"CDA30496",1901,10,190110,23,0,101,14,325,88,30,0,65,-9999,57,15.5,22.6,8.3
"CDA30496",1901,11,190111,20,3,265,0,132,45,25,0,24,-9999,67,9.2,14.2,4.2
"CDA30496",1901,12,190112,32,16,381,0,54,37,15,0,5,-9999,63,5.6,11.3,0
"JEPS100507",1901,1,190101,0,8,307,0,109,43,21,1,52,-9999,61,8.2,14.3,2.2
"JEPS100507",1901,2,190102,0,4,215,0,150,53,24,0,64,-9999,63,10.2,15.9,4.4
"JEPS100507",1901,3,190103,82,2,201,1,209,90,27,0,8,-9999,55,11.7,19,4.4
"JEPS100507",1901,4,190104,98,1,184,3,219,120,24,0,21,-9999,48,12.2,21,3.5
"JEPS100507",1901,5,190105,144,0,65,30,375,157,30,0,12,-9999,52,17.1,25.4,8.8
"JEPS100507",1901,6,190106,205,0,14,99,481,206,30,0,1,-9999,40,21.1,32.4,9.7
